shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
jetblckpants	RT @faveship: nichols and morello - orange is the new black http://twitter.com/faveship/status/646211261005344768/photo/1
LSpickles10	RT @BSpiller2: Mom-"Lexi can you at least put blush on? You look like the walking dead..."😂😂 @LSpickles10
nacio9897	These narcos are life
heyyjustine	I look like the walking dead rn
mygrandey	watching fear the walking dead 👀
torobrosso	this is vince getting emotional over breaking bad & better call saul past midnight
aestheticwoozi	my favourite tv shows are the walking dead or gotham
ThatNigga_DOPEE	We had wifi one day & my sister already can't stop watching orange is the new black on Netflix 😒
annaroseboyer	I'm the worst to hang out with because all I watch is svu, breaking bad, and cooking shows.
ImPoetic_	RT @LesbianCode__: When season 3 of #OITNB finally comes out http://twitter.com/LesbianCode__/status/487408138698502145/photo/1
rachel_juanita3	@SadyFinton orange is the new black
__Purplexo	RT @PrisonBReact: *opens Netflix app and watches prison break all over again*
_Ennemyy57_	Fear the walking dead 👀
Snyder21Matthew	RT @TheWalkingHumor: hello the walking dead returns next month goodbye
kickinlolli	Woke up to 2016 with no hangover🙌, breakfast , and narcos marathon !
Kaylanicci	RT @WeimerTyler: @Gabkdie fresh of the set of narcos http://twitter.com/WeimerTyler/status/682748358344101889/photo/1
xxootori	@elliottashley94 prison break, gossip girl, scandal, how I met your mother, vampire diaries
paam_staa	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
_TessAllen_	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
BarbQueenMinaj	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
spideytrash	breaking bad tweets a vid & again i can't watch it in my country
deusnoob	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
sandra_tp27	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
lorenacadan	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
reckless_dude_	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
bbtalkx	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
mrsnathansykes	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
Tayieromustdie	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
ScErinheit451	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
LujziYaay	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
_iZaBou	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
AddictToSeries	RT @kevParisSG: @AddictToSeries Fear the walking dead The walking dead Banshee The 100 Shameless
jalmanzar4	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
marionksjd	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
freakdaughter	I tol my mom I been studying for chemistry but really I been watching breaking bad So technically I am
sh4man_	[...] "Your lifeless body feels like the walking dead" ... (8)
irelandfuckingb	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
Mich_De_Jesus	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
mkwhite7	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
duds_coelho	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
CherylBB30	Was there a season 2 of fear the walking dead!? Did I miss it somehow!? Lol
murderwolfie	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
PRAYF0RPPLAGUES	RT @TheWalkingHumor: hello the walking dead returns next month goodbye
ghouull	after a long time i have finally gotten round to reading volume 22 of the walking dead and oh my actual god what the fuck
NOTOKASWELL	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
lijj215_	watching the walking dead.
Albane_M	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
Traumkxnd	RT @queerships: alisha and tara || the walking dead http://twitter.com/queerships/status/646760628472934404/photo/1
velmas_glasses	RT @Xsurvivalseries: Look at the Flour. 😋😋😋😋. #twd #thewalkingdead http://twitter.com/Xsurvivalseries/status/682972530286702593/photo/1
serenacolosess1	RT @Louis_Tomlinson: Fear the walking dead is siiiiiiiiiick !! Shits about to kick off !!
maroonxcx	narcos ou how to get away with murder? to mt indecisa
aybukecu	@Ozmanrit dizi bu orange is the new black
villlanuevaa	@CleanMy_Sprite the walking dead comes back on on Valentine's Day lol
KeeshDiesel_	Somebody get this man his pills. He tweakin #prisonbreak
HELIKENDIZZLE	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
tylermorse24	My bed and the walking dead all day!
annaapalermo40	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
rememberhowell	@danisnotonfire whos ur fav in the walking dead v important
Kitty_458	Cant wait for #thewalkingdead to return!!👍👍😃 New 'The Walking Dead' mid-season trailer airs http://a.msn.com/07/en-gb/BBo6xtG?ocid=st
amyholloway98	RT @smoldersbush: michael & sara - prison break // my soul, my heart, my everything http://twitter.com/smoldersbush/status/677979314416173056/photo/1
Facundo11632	☆ the walking dead ☆
axelle_gr	I've just watched episode S03E07 of #OITNB ! http://www.tvshowtime.com/show/264586/episode/5044437?ref=e8b6b188c34837ffd50a4b104ad1d0ec
anwana_ime	RT @TheWalkingHumor: the walking dead // emotional http://twitter.com/TheWalkingHumor/status/682482358315020288/photo/1
AFerrali	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
HoopinDynasty	Somebody need too watch the walking dead W/ me. This little girl crazy 💀💀😭
Ruby_turner_	Watching orange is the new black.. Again! #OITNB
ananasthisway	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
blcktprblms	RT @rtcinnamonroll: beth greene (the walking dead) http://twitter.com/rtcinnamonroll/status/646432819711995904/photo/1
Nahaleesi	@FnaticFebiven orange is the new black or narcos
1Dunicornsauce	Omg I'm gonna drink eggnog and binge watch the walking dead and cry myself to sleep @GraysonDolan hasn't noticed me for 3 years wowowowow
cynthiaQuiroz14	RT @nextlevelcrazy: Orange Is the New Black's Dascha Polanco Dishes On 'Breaking The Mold' In Hollywood #OITNB #DaschaPolanco https://t.co/…
Hormann104	Gonna watch breaking bad again. Best show ever!! Perfect day to lay around and watch Netflix 😎
infinitexmgc	I'm addicted to orange is the new black and I'm not even sorry
maaryvnstr	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
cutestilinskiii	i need to follow more people!!! if you're a teen wolf, the walking dead or harry potter acc i will 99.9% follow you back
KaylorMartin	Feel like the walking dead👌🏼
ballinbona3	RT @clouse_taylor: prison break is coming back this year!!!!!!!!!!!!! words can't express how happy i am this year rox
KuakataNews	RT @MikeMickelson: Just finished #prisonbreak season 4 AGAIN, can't wait for the next one, @WentworthMiller and the rest of the cast bring …
kimberly_PSU	RT @MikeMickelson: Just finished #prisonbreak season 4 AGAIN, can't wait for the next one, @WentworthMiller and the rest of the cast bring …
blessljp	can skyler get killed off breaking bad she's so annoying
Dd14987	@mezo_ua07 game of throne , black list , walking dead , viking , breaking bad , amrican horror story
WalkingDeadBot	RT @rbbscult: i love the walking dead sm but i can't watch it anymore bc it's too much and my eyes hurt 😥 i'll watch it tomorrow
highbyzo	RT @tvshowsbloopers: the walking dead http://twitter.com/tvshowsbloopers/status/674435278849855490/video/1
Mikeywatcha	regram @brbafever From pilot to Felina…the feels are real 😔🙌 #breakingbad :\ https://www.instagram.com/p/BAA6bAKNxDQ/
SrKror	Good #OITNB night 🙋🏼 http://twitter.com/SrKror/status/683067449785364480/photo/1
4reigHNexchange	RT @JadoreKSC: Start watching prison break that's what I'm currently watching . https://twitter.com/x_basedbeauty/status/683067304184295424
OBRIENFODI	orange is the new black sz https://twitter.com/fluxojelieber/status/683005139821682688
BeckyWills_	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
Withlovehesxx	RT @psniallslarrie: Guys my mom and stepdad are watching season 1-5 of the walking dead on Netflix 😊 YAYY
lerodrigues2409	RT @rtsejaassistiu: the walking dead
halseyarctic	@SakuraJBH orphan black, daredevil, hannibal, oitnb, game of thrones, house, supernatural, mr robot e breaking bad
_adrianuhhhhh	Shhhh the walking dead is on
justinakaur	prison break is making me want to cry
mushbuh	@_catears i love breaking bad too
AlexisMarie660	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
wiIdfiresus	RT @rtyourcharacter: stella carlin || orange is the new black http://twitter.com/rtyourcharacter/status/656473050070786048/photo/1
saidag13	RT @OITNB: Here's to 2016, baby. #OITNB http://twitter.com/OITNB/status/682999771120799744/photo/1
NOCHILDRVN	I've just watched episode S02E06 of Orange Is the New Black! #OITNB http://www.tvshowtime.com/show/264586/episode/4799305?ref=7557b2c5fb24cf36de830e3fc78893e2
rellaxniall	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
divergentezei	RT @rtsejaassistiu: the walking dead
mallory109	RT @TheWalkingHumor: hello the walking dead returns next month goodbye
eerinjeann	a year between each season of orange is the new black???? http://twitter.com/eerinjeann/status/683084377899794432/photo/1
normftandy	i feel like im forcing myself to watch s5 of breaking bad it's so boring & so damn slow
jessdeboer	Why is the walking dead so addictive? 😬
91L0UlS	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
nicoleeexxxx3	I really want to re-watch breaking bad
MichelleMCastr0	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
kimmie_cupp	My grandma cried when Daryl and Carol reunited on the walking dead 😭💓
youwreinlove	RT @rtsejaassistiu: orange is the new black
WCKD_ISGOOD	RT @favechracter: beth greene || the walking dead http://twitter.com/favechracter/status/640014918163517440/photo/1
s_ammy_t	Literally spent all of today watching the walking dead ah
irefu5etosink	Im so exhausted that I look like a zombie from the walking dead 😂
sadeem169	RT @favechracter: maggie greene || the walking dead http://twitter.com/favechracter/status/636642973875351553/photo/1
lovatordena	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
ki_anne09	Im so sad at the ending of prison break😢
NaomiBenabou	RT @favechracter: nicky nichols || orange is the new black http://twitter.com/favechracter/status/640587243086848000/photo/1
DoctorWhoetCM	RT @tvstarterspacks: the walking dead (tv show) starter pack http://twitter.com/tvstarterspacks/status/674674585653157888/photo/1
RyanFromWork	Live now! Finishing up The Walking Dead Season 2 Episode 5! Join us at http://www.twitch.tv/ryanfromwork #stream #twitch #thewalkingdead
itsjusttheradio	should i start nurse jackie or breaking bad?
CammisuliAmanda	#AskEthanAndGrayson @EthanDolan @GraysonDolan have you ever watched the walking dead before
DreamDancer1010	When you wanna breaking bad and chill but babe isn't with you 😭
warebroken	@dreadoutores eu nunca assisti the walking dead
dekabitxh	RT @Bachelor_Josh: Looking forward to prison break season 5 and power season 3
hiqhwaytohell	RT @rtsaddestdeaths: merle dixon || the walking dead http://twitter.com/rtsaddestdeaths/status/647522537140785152/photo/1
AseelIbrahim21	I can't wait to get back home just to keep watching prison break 😂
5SOS_FourLife	RT @rtsaddestdeaths: beth greene || the walking dead http://twitter.com/rtsaddestdeaths/status/646733639598907392/photo/1
hiqhwaytohell	RT @rtsaddestdeaths: beth greene || the walking dead http://twitter.com/rtsaddestdeaths/status/646733639598907392/photo/1
AresTheBest	RT @rtsaddestdeaths: andrea harrison || the walking dead http://twitter.com/rtsaddestdeaths/status/645733126916976640/photo/1
HollywoodJay2	RT @MikeMickelson: Just finished #prisonbreak season 4 AGAIN, can't wait for the next one, @WentworthMiller and the rest of the cast bring …
stilinskiftyler	RT @rtsaddestdeaths: merle dixon || the walking dead http://twitter.com/rtsaddestdeaths/status/647522537140785152/photo/1
Dylaan_16	RT @JayFromTGF: I'd happily watch the walking dead all over again.. for the 3rd time.
Jessica33885337	Do u like the walking dead?#AskEthanAndGrayson
vocalisticluke	RT @rtsaddestdeaths: dale horvath || the walking dead http://twitter.com/rtsaddestdeaths/status/646605976876023808/photo/1
NerksF	@zozzer1966 Record-breaking bad polling. Getting slaughtered in polls for over 12 months before being dumped. Public not on his side.
bgrooters28	RT @rtsaddestdeaths: sophia peletier || the walking dead http://twitter.com/rtsaddestdeaths/status/648186243189198848/photo/1
chrscolfur	RT @rtyourcharacter: judith grimes || the walking dead http://twitter.com/rtyourcharacter/status/658040653159530496/photo/1
j_christley	. @FCardamenis His prison break killed dozens of Union & Confed men, and he was discharged dishonorably.
FCardamenis	@j_christley I'm unconvinced that the prison break story we hear is 100% true, and even if so I think it's notable that it's off-screen.
yoroshikuumin	RT @nextlevelcrazy: 17 Moments When 'Orange Is The New Black' Perfectly Described Your Semester #OITNB http://bit.ly/1Sl8spc
armadillouis_	RT @rtsaddestdeaths: mika samuels || the walking dead http://twitter.com/rtsaddestdeaths/status/650038573325000704/photo/1
obrienn_18	@TaySwartz @LSlother you want to watch breaking bad trust me
arcticevelyn	Oh and I finished the season of narcos (:, I am on a roll people.
TylerFurfero	@liquori_fit so far breaking bad is killing it lol
jizzle701	They don' put dr.dre in a wig on the walking dead LMFAOOOO
_91940	qui s'rappel de orange is the new black
jackftmikey	RT @rtsaddestdeaths: tricia miller || orange is the new black http://twitter.com/rtsaddestdeaths/status/645737054681309184/photo/1
jackftmikey	RT @rtsaddestdeaths: andrea harrison || the walking dead http://twitter.com/rtsaddestdeaths/status/645733126916976640/photo/1
buterasmxta	RT @rtyourcharacter: andrea || the walking dead http://twitter.com/rtyourcharacter/status/662258449036812289/photo/1
allymento	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
HolyGhostGirl83	Its been a day! Cant wait for it to end! #thewalkingdead #carlgrimes #chandlerriggs #rickgrimes… https://www.instagram.com/p/BABYS6uLzJL/
VlmLaura	RT @rtyourcharacter: rick grimes || the walking dead http://twitter.com/rtyourcharacter/status/648164833616003072/photo/1
norminahjdb	RT @rtyourcharacter: tasha "taystee" jefferson || orange is the new black http://twitter.com/rtyourcharacter/status/675861947330510848/photo/1
AS1word	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
Evy_flores10	I'm obsessed with everything that has to do with narcos 🤔
complic4da_	RT @kauanacrazy: viciada em orange is the new black no momento
DigaCesar	vou por o ultimo ep de breaking bad pra ver no netflix.
jerksoffplant	RT @rtyourcharacter: tasha "taystee" jefferson || orange is the new black http://twitter.com/rtyourcharacter/status/675861947330510848/photo/1
Tia_Ronk	@Abby_Border well we were the walking dead for about a week so probably..
fringelarents	RT @tvshowsbloopers: the walking dead http://twitter.com/tvshowsbloopers/status/674435278849855490/video/1
badlandhoe	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/673227360246890497/video/1
wimberlyOneTIME	The principal in breaking bad was bad af
lexanizer	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
untildawnings	i dont want to pull the ugly the walking dead thing tho
